USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  24168 14516 ?        Ss    2025   2:47 /sbin/init splash
root           2  0.0  0.0      0     0 ?        S     2025   0:01 [kthreadd]
root           3  0.0  0.0      0     0 ?        S     2025   0:00 [pool_workqueue_release]
root           4  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-rcu_gp]
root           5  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-sync_wq]
root           6  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-kvfree_rcu_reclaim]
root           7  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-slub_flushwq]
root           8  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-netns]
root          10  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/0:0H-events_highpri]
root          13  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-mm_percpu_wq]
root          14  0.0  0.0      0     0 ?        I     2025   0:00 [rcu_tasks_kthread]
root          15  0.0  0.0      0     0 ?        I     2025   0:00 [rcu_tasks_rude_kthread]
root          16  0.0  0.0      0     0 ?        I     2025   0:00 [rcu_tasks_trace_kthread]
root          17  0.0  0.0      0     0 ?        S     2025   0:25 [ksoftirqd/0]
root          18  0.0  0.0      0     0 ?        I     2025  16:54 [rcu_preempt]
root          19  0.0  0.0      0     0 ?        S     2025   0:00 [rcu_exp_par_gp_kthread_worker/0]
root          20  0.0  0.0      0     0 ?        S     2025   0:01 [rcu_exp_gp_kthread_worker]
root          21  0.0  0.0      0     0 ?        S     2025   1:43 [migration/0]
root          22  0.0  0.0      0     0 ?        S     2025   0:00 [idle_inject/0]
root          23  0.0  0.0      0     0 ?        S     2025   0:00 [cpuhp/0]
root          24  0.0  0.0      0     0 ?        S     2025   0:00 [cpuhp/2]
root          25  0.0  0.0      0     0 ?        S     2025   0:00 [idle_inject/2]
root          26  0.0  0.0      0     0 ?        S     2025   1:11 [migration/2]
root          27  0.0  0.0      0     0 ?        S     2025   0:07 [ksoftirqd/2]
root          29  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/2:0H-events_highpri]
root          30  0.0  0.0      0     0 ?        S     2025   0:00 [cpuhp/4]
root          31  0.0  0.0      0     0 ?        S     2025   0:00 [idle_inject/4]
root          32  0.0  0.0      0     0 ?        S     2025   6:52 [migration/4]
root          33  0.0  0.0      0     0 ?        S     2025   0:03 [ksoftirqd/4]
root          35  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/4:0H-events_highpri]
root          36  0.0  0.0      0     0 ?        S     2025   0:00 [cpuhp/5]
root          37  0.0  0.0      0     0 ?        S     2025   0:00 [idle_inject/5]
root          38  0.0  0.0      0     0 ?        S     2025   4:21 [migration/5]
root          39  0.0  0.0      0     0 ?        S     2025   0:02 [ksoftirqd/5]
root          41  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/5:0H-events_highpri]
root          42  0.0  0.0      0     0 ?        S     2025   0:00 [cpuhp/6]
root          43  0.0  0.0      0     0 ?        S     2025   0:00 [idle_inject/6]
root          44  0.0  0.0      0     0 ?        S     2025   2:56 [migration/6]
root          45  0.0  0.0      0     0 ?        S     2025   0:02 [ksoftirqd/6]
root          47  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/6:0H-events_highpri]
root          48  0.0  0.0      0     0 ?        S     2025   0:00 [cpuhp/7]
root          49  0.0  0.0      0     0 ?        S     2025   0:00 [idle_inject/7]
root          50  0.0  0.0      0     0 ?        S     2025   2:04 [migration/7]
root          51  0.0  0.0      0     0 ?        S     2025   0:02 [ksoftirqd/7]
root          53  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/7:0H-events_highpri]
root          54  0.0  0.0      0     0 ?        S     2025   0:00 [cpuhp/8]
root          55  0.0  0.0      0     0 ?        S     2025   0:00 [idle_inject/8]
root          56  0.0  0.0      0     0 ?        S     2025   1:22 [migration/8]
root          57  0.0  0.0      0     0 ?        S     2025   0:02 [ksoftirqd/8]
root          59  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/8:0H-events_highpri]
root          60  0.0  0.0      0     0 ?        S     2025   0:00 [cpuhp/9]
root          61  0.0  0.0      0     0 ?        S     2025   0:00 [idle_inject/9]
root          62  0.0  0.0      0     0 ?        S     2025   1:08 [migration/9]
root          63  0.0  0.0      0     0 ?        S     2025   0:02 [ksoftirqd/9]
root          65  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/9:0H-events_highpri]
root          66  0.0  0.0      0     0 ?        S     2025   0:00 [cpuhp/10]
root          67  0.0  0.0      0     0 ?        S     2025   0:00 [idle_inject/10]
root          68  0.0  0.0      0     0 ?        S     2025   0:58 [migration/10]
root          69  0.0  0.0      0     0 ?        S     2025   0:02 [ksoftirqd/10]
root          71  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/10:0H-events_highpri]
root          72  0.0  0.0      0     0 ?        S     2025   0:00 [cpuhp/11]
root          73  0.0  0.0      0     0 ?        S     2025   0:00 [idle_inject/11]
root          74  0.0  0.0      0     0 ?        S     2025   0:42 [migration/11]
root          75  0.0  0.0      0     0 ?        S     2025   0:01 [ksoftirqd/11]
root          77  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/11:0H-events_highpri]
root          78  0.0  0.0      0     0 ?        S     2025   0:00 [cpuhp/1]
root          79  0.0  0.0      0     0 ?        S     2025   0:00 [idle_inject/1]
root          80  0.0  0.0      0     0 ?        S     2025   0:13 [migration/1]
root          81  0.0  0.0      0     0 ?        S     2025   0:30 [ksoftirqd/1]
root          83  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/1:0H-events_highpri]
root          84  0.0  0.0      0     0 ?        S     2025   0:00 [cpuhp/3]
root          85  0.0  0.0      0     0 ?        S     2025   0:00 [idle_inject/3]
root          86  0.0  0.0      0     0 ?        S     2025   0:08 [migration/3]
root          87  0.0  0.0      0     0 ?        S     2025   0:05 [ksoftirqd/3]
root          89  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/3:0H-events_highpri]
root          90  0.0  0.0      0     0 ?        S     2025   0:00 [kdevtmpfs]
root          91  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-inet_frag_wq]
root          92  0.0  0.0      0     0 ?        S     2025   0:01 [kauditd]
root          93  0.0  0.0      0     0 ?        S     2025   0:01 [khungtaskd]
root          94  0.0  0.0      0     0 ?        S     2025   0:00 [oom_reaper]
root          97  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-writeback]
root          98  0.0  0.0      0     0 ?        S     2025   0:23 [kcompactd0]
root          99  0.0  0.0      0     0 ?        SN    2025   0:00 [ksmd]
root         100  0.0  0.0      0     0 ?        SN    2025   0:01 [khugepaged]
root         101  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-kintegrityd]
root         102  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-kblockd]
root         103  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-blkcg_punt_bio]
root         105  0.0  0.0      0     0 ?        S     2025  14:39 [irq/9-acpi]
root         107  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-tpm_dev_wq]
root         109  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-ata_sff]
root         110  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-md]
root         111  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-md_bitmap]
root         112  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-edac-poller]
root         113  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-devfreq_wq]
root         114  0.0  0.0      0     0 ?        S     2025   0:00 [watchdogd]
root         117  0.0  0.0      0     0 ?        S     2025   0:28 [kswapd0]
root         118  0.0  0.0      0     0 ?        S     2025   0:00 [ecryptfs-kthread]
root         119  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-kthrotld]
root         121  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-acpi_thermal_pm]
root         124  0.0  0.0      0     0 ?        S     2025   0:22 [hwrng]
root         125  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-hfi-updates]
root         126  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-mld]
root         128  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-ipv6_addrconf]
root         136  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-kstrp]
root         159  0.0  0.0      0     0 ?        I<    2025   0:00 [kworker/R-charger_manager]
root         161  0.0  0.0      0     0 ?        I<    2025   0:15 [kworker/0:1H-events_highpri]
root         185  0.0  0.0      0     0 ?        I<    2025   0:29 [kworker/8:1H-kblockd]
root         188  0.0  0.0      0     0 ?        I<    2025   0:12 [kworker/6:1H-kblockd]
root         213  0.0  0.0      0     0 ?        I<    2025   0:13 [kworker/7:1H-kblockd]
